goos: darwin
goarch: arm64
pkg: scrinium.dev/engine/artifact
cpu: Apple M5
BenchmarkPut_1MiB-10     	     960	   1213766 ns/op	 863.90 MB/s	   45492 B/op	     172 allocs/op
BenchmarkPut_1MiB-10     	     954	   1214476 ns/op	 863.40 MB/s	   45485 B/op	     172 allocs/op
BenchmarkPut_1MiB-10     	     946	   1211269 ns/op	 865.68 MB/s	   45360 B/op	     172 allocs/op
BenchmarkPut_16MiB-10    	      93	  13498931 ns/op	1242.86 MB/s	   45978 B/op	     176 allocs/op
BenchmarkPut_16MiB-10    	      80	  12782077 ns/op	1312.56 MB/s	   46093 B/op	     177 allocs/op
BenchmarkPut_16MiB-10    	      90	  13436814 ns/op	1248.60 MB/s	   46084 B/op	     177 allocs/op
BenchmarkPut_16MiB-10    	      92	  13559822 ns/op	1237.27 MB/s	   45999 B/op	     176 allocs/op
BenchmarkPut_16MiB-10    	      91	  13335751 ns/op	1258.06 MB/s	   45918 B/op	     177 allocs/op
BenchmarkPut_16MiB-10    	      91	  13369851 ns/op	1254.85 MB/s	   46032 B/op	     177 allocs/op
BenchmarkPut_16MiB-10    	      91	  13336620 ns/op	1257.98 MB/s	   46040 B/op	     177 allocs/op
BenchmarkPut_16MiB-10    	      91	  13260857 ns/op	1265.17 MB/s	   45971 B/op	     176 allocs/op
BenchmarkPut_16MiB-10    	      91	  13377461 ns/op	1254.14 MB/s	   45897 B/op	     177 allocs/op
BenchmarkPut_16MiB-10    	      91	  13496296 ns/op	1243.10 MB/s	   46026 B/op	     177 allocs/op
